Start,End
6218.247,6218.49
6225.854,6226.096
6229.151,6229.527
6232.598,6232.924
6235.135,6236.365
6246.645,6247.106
6251.119,6251.53
6255.194,6255.45
6256.268,6256.763
6257.536,6257.935
6263.064,6265.036
6267.026,6267.292
6269.272,6269.698
6270.447,6270.895
6275.583,6275.922
6278.144,6286.803
6289.326,6292.626
6292.908,6294.376
6294.623,6295.563
6296.033,6299.299
6299.955,6302.751
6303.555,6303.963
6304.356,6313.132
6314.402,6316.191
6316.578,6316.826
6317.87,6318.158
6318.801,6319.455
6320.527,6320.812
6321.122,6323.352
6325.267,6326.587
6333.426,6333.183
6343.905,6345.811
6346.024,6346.497
6351.892,6356.066
6356.863,6357.336
6361.905,6362.238
6363.281,6363.794
6370.216,6371.124
6374.218,6372.567
8706.55046900304,8707.879004450393
8709.007909678943,8712.181257284148
8723.00655460934,8728.803343166153
8731.686483790281,8737.6009806269
8738.599962818698,8744.158475573091
8746.989802696391,8754.025032662972
8754.879028276295,8757.802189193499
8761.883850643735,8764.885015207348
8769.012358340955,8772.206351674777
8774.338592763706,8775.11617833754
8780.910227626984,8781.306840408735
8782.424355891055,8787.95461858786
8805.530458392699,8806.798079813923
8807.321389835828,8810.417939578434
8810.750654007286,8812.075895123176
8813.89829531725,8826.295882128703
8830.267427646311,8830.780575672889
8584.818493366723,8595.85616871743
8599.544834417666,8600.059857335578
8603.175070509895,8608.097917930705
8608.560216916661,8609.142217591772
8609.823288225381,8613.861086136158
8614.414185239433,8615.694583629343
8616.989562090448,8618.376892883321
8618.863971605484,8623.675035953422
8624.249753156108,8634.525115836464
8635.982962005877,8638.803915756353
8643.557681801609,8645.628855913534
8651.418257389436,8655.065284623879
8658.796203761549,8659.43794433326
8664.264103866242,8664.8750420161
8670.350968267141,8676.466096218188
8677.49733546287,8677.93332263471
8681.036719538979,8681.63351064613
8682.15236895874,8683.03442527253
8685.057552021692,8685.612555231219
8689.644478942497,8690.171770476909
8691.236446670438,8697.496375256389
8701.300651667225,8701.616072897466
8702.8444976859,8706.447435975346
8466.29772488911,8469.745938643822
8471.062017622904,8473.700687822944
8474.279859319196,8475.785460828823
8478.246677937293,8483.037339072886
8483.701976906716,8484.104162717234
8485.327917998658,8498.539463936699
8502.040414207717,8502.420670680076
8503.615441487036,8508.47891337605
8511.831628275477,8512.126180577068
8513.905581599747,8516.146342096408
8516.617768561242,8517.251152889537
8517.702707632869,8528.793188238193
8529.17415621859,8530.055183295945
8531.842587281451,8538.118377807985
8539.832931696264,8541.172800516933
8542.947699865686,8543.34032356156
8543.86280488865,8544.855566296208
8549.994373641512,8552.426075999336
8555.930630827266,8558.70829184199
