Start,End
4252.041,4252.761
4253.459,4253.544
4253.864,4254.079
4257.169,4257.38
4257.481,4257.874
4260.866,4261.063
4263.453,4263.996
4264.676,4264.928
4265.706,4266.189
4266.523,4266.925
4267.454,4268.116
4269.085,4269.245
4269.571,4269.905
4270.687,4271.133
4273.656,4273.826
4274.805,4274.957
4276.652,4277.217
4278.07,4278.373
4278.813,4278.949
4279.658,4279.978
4280.461,4280.577
4281.662,4281.815
4282.74,4282.854
4289.67,4289.833
4292.773,4293.012
4293.815,4293.93
4294.561,4294.675
4295.711,4295.893
4296.032,4296.179
4297.237,4297.349
4297.836,4298.108
4298.202,4298.906
4299.286,4299.513
4300.885,4301.499
4302.603,4302.841
4317.039,4317.383
4318.217,4318.328
4319.349,4319.487
4319.944,4320.099
4320.809,4321.126
4322.316,4322.782
4323.948,4324.099
4324.762,4324.99
4325.316,4326.147
4326.269,4326.365
4328.034,4328.24
4329.18,4329.351
4329.699,4331.006
4331.508,4332.075
4332.208,4332.713
4333.628,4333.906
4334.176,4334.331
4335.022,4335.394
4336.239,4336.751
4337.97,4338.15
4339.499,4339.786
4340.219,4340.691
4342.273,4342.525
4343.348,4343.637
4346.49,4347.056
4351.499,4351.718
4351.837,4351.974
4352.455,4352.627
4354.025,4354.123
4355.656,4355.86
4356.019,4356.222
4358.192,4358.444
4359.127,4359.222
4359.799,4360.466
4362.094,4362.782
4363.159,4363.791
4365.456,4365.645
4366.629,4366.88
4369.28,4369.48
4369.79,4369.96
4370.05,4370.24
4370.588,4370.876
4371.214,4371.313
4372.32,4372.546
4375.738,4375.931
4376.66,4377.042
4377.367,4377.9
4378.421,4378.714
4378.988,4379.073
4379.609,4380.442
4381.503,4381.882
4382.058,4382.895
4385.972,4386.026
4386.751,4387.232
4389.838,4390.047
4391.053,4391.182
4391.268,4391.501
4391.93,4392.059
4392.426,4392.87
4394.021,4394.173
4394.911,4395.187
4397.427,4397.648
4398.462,4398.64
4400.382,4400.645
4401.29,4401.512
4402.144,4402.474
4403.53,4404.795
4405.14,4405.415
4407.133,4407.307
4409.1,4409.253
4409.808,4410.274
4411.137,4411.496
4412.361,4412.614
4413.314,4414.733
4415.221,4415.899
4416.938,4417.5
4418.553,4418.652
4419.207,4419.376
4420.407,4420.628
4420.963,4421.639
4423.224,4423.768
4423.88,4424.362
4424.773,4424.952
4425.369,4426.141
